 Óbitos infantis - Minas Gerais
Óbitos p/Residênc por Município e Ano do Óbito
Período:1996-2024
"Município";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"311590 CHACARA";1;1;-;-;2;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;1;11
"311600 CHALE";1;-;2;4;1;1;1;1;2;1;1;3;1;-;3;-;2;-;1;-;-;4;1;-;1;2;-;-;1;34
"311610 CHAPADA DO NORTE";2;2;-;1;2;4;4;2;4;6;2;3;1;3;4;2;2;3;2;3;4;1;4;-;-;2;2;6;-;71
"311615 CHAPADA GAUCHA";-;-;-;-;1;2;1;3;2;4;5;5;2;5;2;3;3;7;4;4;-;4;3;-;2;1;6;5;5;79
"311620 CHIADOR";4;1;-;1;-;1;-;2;-;1;-;-;-;-;1;1;-;-;-;-;1;1;-;-;-;-;-;-;-;14
"311630 CIPOTANEA";3;5;4;3;2;4;7;1;2;3;3;2;-;2;-;2;1;-;-;1;-;1;-;1;1;-;1;1;-;50
"311640 CLARAVAL";2;-;1;1;-;-;3;-;1;-;-;1;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;13
"311650 CLARO DOS POCOES";1;2;5;1;1;3;1;-;-;3;1;1;1;-;-;-;1;1;1;2;-;2;-;1;1;1;-;2;3;35
"311660 CLAUDIO";15;11;8;9;7;7;6;5;12;11;9;6;7;8;4;4;5;3;4;4;5;5;4;5;2;1;4;3;5;179
"311670 COIMBRA";1;2;2;2;2;3;-;3;1;-;1;-;1;-;2;2;-;2;2;2;2;1;1;1;-;-;-;-;-;33
"311680 COLUNA";11;11;8;14;5;5;7;7;4;7;10;1;2;4;2;5;3;4;1;1;-;2;1;2;-;-;-;2;2;121
"311690 COMENDADOR GOMES";-;-;-;1;-;-;1;1;-;1;1;1;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;1;1;11
"311700 COMERCINHO";-;1;-;-;-;-;3;1;4;2;3;2;2;1;-;-;2;1;1;1;1;-;3;3;-;1;-;2;1;35
"311710 CONCEICAO DA APARECIDA";3;-;3;4;2;2;-;5;1;1;1;3;3;-;2;-;-;1;-;1;-;-;-;-;1;3;-;-;1;37
"311720 CONCEICAO DAS PEDRAS";-;-;-;-;3;1;-;-;1;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;8
"311730 CONCEICAO DAS ALAGOAS";4;6;8;5;2;5;4;7;3;6;5;3;6;6;5;4;7;3;4;3;4;3;6;6;6;4;2;4;6;137
"311740 CONCEICAO DE IPANEMA";-;-;1;3;-;4;-;1;1;2;2;-;2;1;-;2;-;-;-;-;1;-;1;-;-;1;-;-;1;23
"311750 CONCEICAO DO MATO DENTRO";15;11;7;3;10;11;10;10;11;4;4;5;3;3;-;3;3;1;2;1;2;1;4;5;5;1;2;7;6;150
"311760 CONCEICAO DO PARA";2;1;1;-;2;1;-;1;2;1;1;1;1;-;1;2;-;2;1;1;-;-;1;2;-;1;-;-;1;26
"311770 CONCEICAO DO RIO VERDE";4;3;2;3;5;4;3;5;3;8;2;2;3;2;1;5;2;-;1;2;-;1;3;2;2;4;2;1;1;76
"311780 CONCEICAO DOS OUROS";3;1;-;3;2;1;1;2;1;1;2;1;4;-;3;1;1;-;1;-;4;4;2;-;2;1;1;-;1;43
"311783 CONEGO MARINHO";-;-;-;-;-;-;1;-;1;1;1;-;1;5;2;-;-;2;4;-;1;-;-;1;1;-;1;1;-;23
"311787 CONFINS";-;-;2;3;-;4;-;2;1;2;-;-;3;2;-;-;1;1;-;2;-;2;-;1;-;-;-;1;-;27
"311790 CONGONHAL";-;1;2;3;2;4;2;1;-;2;-;3;3;-;1;1;2;3;1;3;2;-;-;2;4;-;2;2;1;47
"311800 CONGONHAS";18;26;16;11;14;7;12;4;13;11;10;12;9;9;9;6;7;6;9;7;10;13;9;6;8;4;11;9;6;292
"311810 CONGONHAS DO NORTE";3;2;-;1;1;4;7;1;4;7;3;4;3;1;1;-;1;-;-;2;3;1;-;1;1;-;1;1;-;53
"311820 CONQUISTA";3;2;2;1;3;1;3;1;-;-;1;2;2;2;-;-;-;1;-;3;2;2;1;-;-;1;1;1;-;35
"311830 CONSELHEIRO LAFAIETE";48;38;36;39;51;29;35;28;26;33;28;28;29;33;19;25;21;24;16;16;14;27;16;20;16;15;20;11;21;762
"311840 CONSELHEIRO PENA";15;12;13;6;6;3;6;13;5;5;5;4;5;1;4;2;5;4;2;2;3;2;1;3;6;2;2;4;1;142
"311850 CONSOLACAO";-;-;-;-;3;-;1;-;1;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;9
"311860 CONTAGEM";290;283;222;218;209;163;136;121;117;111;99;99;87;103;106;94;79;95;89;95;94;85;73;86;80;77;76;80;80;3547
"311870 COQUEIRAL";3;6;1;1;3;4;3;-;2;1;4;-;2;1;3;2;-;-;-;2;1;-;-;2;4;2;-;1;1;49
"311880 CORACAO DE JESUS";7;6;10;10;9;10;10;7;7;7;4;6;2;8;8;2;7;5;4;5;2;4;4;2;1;-;4;1;2;154
"311890 CORDISBURGO";1;1;1;3;1;-;1;1;1;1;2;1;2;1;-;-;1;-;2;3;-;-;2;2;-;1;1;1;1;31
"311900 CORDISLANDIA";-;2;3;-;2;1;2;-;-;2;1;1;1;-;-;1;2;-;1;1;1;1;-;1;-;-;1;1;1;26
"311910 CORINTO";8;8;10;10;12;14;15;13;6;9;8;3;6;8;8;5;5;2;8;3;4;8;9;2;1;2;1;7;11;206
"311920 COROACI";1;6;1;5;-;1;3;5;3;3;2;1;-;-;2;2;2;3;1;-;1;1;1;-;-;2;-;-;1;47
"311930 COROMANDEL";2;8;11;4;6;1;8;4;2;2;3;4;5;3;4;4;6;4;1;6;1;4;1;1;1;2;3;4;5;110
"311940 CORONEL FABRICIANO";56;60;46;27;37;41;39;25;17;26;19;27;15;13;19;24;19;13;16;10;22;13;15;10;15;5;11;14;13;667
"311950 CORONEL MURTA";-;2;-;-;1;2;-;2;2;2;2;2;3;1;-;-;4;-;4;1;-;3;2;1;4;2;-;-;-;40
"311960 CORONEL PACHECO";-;1;1;-;-;1;-;1;-;1;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;9
"311970 CORONEL XAVIER CHAVES";1;1;-;-;2;2;-;3;-;1;1;-;-;2;2;1;1;-;-;-;-;-;-;-;-;-;-;-;1;18
"311980 CORREGO DANTA";-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;5
"311990 CORREGO DO BOM JESUS";-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"311995 CORREGO FUNDO";-;2;-;1;-;2;-;3;2;-;-;-;1;-;-;3;1;1;-;-;-;2;2;-;-;-;-;-;2;22
"312000 CORREGO NOVO";5;4;-;-;1;1;2;1;-;-;-;-;-;2;1;-;-;3;-;-;-;1;-;1;-;-;1;2;1;26
"312010 COUTO DE MAGALHAES DE MINAS";1;1;1;-;3;3;2;-;1;-;3;1;2;4;-;-;-;-;-;1;2;1;1;1;-;-;1;4;-;33
"312015 CRISOLITA";-;-;1;1;1;1;-;3;-;1;2;1;1;2;-;1;5;1;1;3;1;-;-;1;1;-;-;1;-;29
"312020 CRISTAIS";4;3;3;3;3;3;-;2;1;-;2;3;1;2;3;3;1;3;1;2;-;1;1;2;4;1;1;-;2;55
"312030 CRISTALIA";1;1;2;3;1;1;2;2;4;2;-;1;5;1;1;1;3;1;1;-;3;1;-;1;-;1;1;-;1;41
"312040 CRISTIANO OTONI";5;-;2;1;1;2;2;-;1;-;2;1;2;1;3;1;2;2;2;1;-;1;-;1;-;-;-;1;-;34
"312050 CRISTINA";2;3;4;4;2;1;4;1;2;2;1;2;3;1;1;1;1;-;2;-;1;1;3;-;2;1;-;-;1;46
"312060 CRUCILANDIA";1;1;-;1;2;1;1;2;1;1;-;1;1;-;-;1;1;1;-;1;-;-;-;1;2;-;1;-;2;23
"312070 CRUZEIRO DA FORTALEZA";-;-;1;-;2;2;-;2;2;-;1;2;-;2;-;-;2;2;-;-;-;1;2;1;-;-;-;-;-;22
"312080 CRUZILIA";6;3;2;3;2;6;7;1;9;3;-;3;4;4;2;1;-;4;1;4;2;3;1;3;2;2;2;2;2;84
"312083 CUPARAQUE";-;3;2;-;-;-;-;-;1;1;-;-;-;1;2;-;1;3;1;-;-;1;1;1;1;1;-;2;-;22
"312087 CURRAL DE DENTRO";-;1;-;-;2;1;-;1;2;3;4;1;2;2;1;4;2;-;2;2;2;2;-;2;-;1;1;-;1;39
"312090 CURVELO";41;35;36;30;15;30;37;26;28;21;19;21;17;10;14;18;11;10;9;17;10;14;9;12;10;14;15;6;5;540
"312100 DATAS";2;1;1;3;5;3;2;2;1;2;2;4;1;-;1;1;-;3;1;1;-;1;1;2;1;-;1;3;-;45
"312110 DELFIM MOREIRA";5;4;5;4;1;5;1;2;1;1;3;1;-;3;-;2;2;-;1;1;2;-;-;2;1;1;-;2;-;50
"312120 DELFINOPOLIS";1;4;1;-;1;1;1;-;-;-;2;2;-;-;-;2;1;1;-;-;1;-;2;-;-;3;-;1;-;24
"312125 DELTA";-;1;-;1;-;-;2;3;3;4;2;4;2;3;-;2;1;-;-;3;3;1;1;2;2;2;3;1;-;46
"312130 DESCOBERTO";3;1;1;-;1;1;-;3;-;-;1;2;-;-;2;-;-;1;1;-;-;-;2;2;-;2;1;1;-;25
"312140 DESTERRO DE ENTRE RIOS";1;-;-;-;1;4;2;1;1;-;2;-;-;-;1;1;-;1;1;-;-;2;-;-;-;2;-;-;-;20
"312150 DESTERRO DO MELO";4;2;1;1;1;1;1;-;3;1;2;-;1;-;-;-;1;1;-;2;1;-;1;-;-;-;2;-;-;26
"312160 DIAMANTINA";16;17;6;14;26;19;26;12;12;15;12;13;14;8;6;11;17;14;8;10;11;6;10;9;3;5;4;6;9;339
"312170 DIOGO DE VASCONCELOS";1;-;-;1;1;1;1;2;1;1;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;12
"312180 DIONISIO";3;8;1;4;-;5;1;-;-;1;1;-;2;-;1;-;2;2;1;-;2;2;-;2;-;-;-;2;-;40
"312190 DIVINESIA";1;1;-;2;-;4;-;1;-;-;1;1;3;-;1;-;1;-;-;-;-;-;3;-;-;-;-;1;-;20
"312200 DIVINO";23;22;9;17;9;15;13;15;9;15;10;5;1;9;5;12;6;2;4;4;4;3;3;1;2;2;4;3;3;230
"312210 DIVINO DAS LARANJEIRAS";-;2;-;-;-;-;2;2;2;1;1;-;-;2;2;1;-;3;3;1;3;1;-;1;-;2;-;-;1;30
"312220 DIVINOLANDIA DE MINAS";4;4;4;3;5;6;-;1;4;3;2;2;1;1;2;-;1;3;3;1;5;-;3;1;-;3;-;2;2;66
"312230 DIVINOPOLIS";37;42;36;63;44;55;42;41;38;45;31;37;24;23;37;38;33;21;22;25;27;17;19;27;24;25;17;27;17;934
"312235 DIVISA ALEGRE";-;-;1;-;2;2;1;3;3;3;4;6;2;2;1;2;3;1;1;2;3;-;-;-;-;-;-;-;1;43
"312240 DIVISA NOVA";3;5;6;4;2;3;2;4;2;2;2;-;2;1;1;1;-;-;-;2;-;-;1;4;-;-;-;-;-;47
"312245 DIVISOPOLIS";-;-;-;-;2;-;3;3;3;2;5;2;3;2;2;-;1;1;1;-;2;2;2;-;-;1;1;-;2;40
"312247 DOM BOSCO";-;-;-;2;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;6
"312250 DOM CAVATI";4;-;3;2;1;4;-;5;-;2;1;3;2;4;2;-;-;1;-;-;1;1;-;-;-;-;-;1;-;37
"312260 DOM JOAQUIM";4;1;1;1;2;2;2;1;1;4;1;1;2;2;-;3;-;-;2;-;-;-;-;-;-;1;1;2;-;34
"312270 DOM SILVERIO";4;2;3;-;5;3;1;1;-;3;2;2;2;1;1;-;1;-;-;-;-;-;-;1;-;-;-;1;-;33
"312280 DOM VICOSO";-;2;-;-;-;-;-;1;1;1;1;-;-;1;1;-;1;-;-;-;-;-;2;-;-;-;-;-;1;12
"312290 DONA EUSEBIA";-;1;2;-;-;-;3;1;1;-;2;-;1;3;-;-;-;2;-;2;-;-;-;1;3;1;4;-;-;27
"312300 DORES DE CAMPOS";1;5;-;-;2;6;3;-;1;1;2;2;2;1;3;1;1;3;-;1;2;2;1;-;2;2;3;-;1;48
"312310 DORES DE GUANHAES";1;2;2;1;2;1;2;1;1;1;1;1;-;-;2;-;-;1;3;1;1;-;2;-;-;-;-;-;1;27
"312320 DORES DO INDAIA";12;17;4;8;7;6;2;4;6;3;2;3;2;1;5;4;1;2;1;2;5;2;2;1;-;2;-;-;-;104
"312330 DORES DO TURVO";3;3;3;1;2;-;-;2;1;-;1;1;1;-;-;-;1;-;-;1;-;-;1;1;3;-;-;1;1;27
"312340 DORESOPOLIS";-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;6
"312350 DOURADOQUARA";1;-;1;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;1;1;1;1;1;-;-;-;-;10
"312352 DURANDE";4;2;1;2;6;5;3;1;3;1;2;2;2;4;-;3;3;-;1;1;5;-;1;1;-;3;1;4;1;62
"312360 ELOI MENDES";10;12;16;9;9;18;11;6;9;13;5;4;7;2;5;6;5;1;1;3;3;8;2;4;-;3;4;5;4;185
"312370 ENGENHEIRO CALDAS";4;4;7;2;9;6;5;6;7;8;1;6;1;4;2;-;2;2;1;1;1;4;2;1;5;1;2;2;5;101
"312380 ENGENHEIRO NAVARRO";5;1;2;4;2;3;-;-;1;1;1;1;3;1;2;-;-;1;-;1;1;1;2;1;-;1;-;1;-;36
"312385 ENTRE FOLHAS";-;1;2;1;4;4;6;4;4;1;-;1;1;3;4;1;1;2;1;2;-;1;1;-;-;-;-;1;2;48
"312390 ENTRE RIOS DE MINAS";11;11;4;10;5;2;2;4;1;6;6;1;3;3;6;2;1;5;3;1;1;4;1;3;1;-;3;3;3;106
"312400 ERVALIA";7;9;6;9;6;11;9;8;11;5;6;5;5;4;2;1;1;5;4;1;8;1;-;4;2;2;4;2;-;138
"312410 ESMERALDAS";18;19;15;20;26;19;16;12;15;21;9;9;5;5;7;10;8;10;12;6;9;16;16;13;11;15;11;18;20;391
"312420 ESPERA FELIZ";1;2;2;9;11;6;4;10;10;9;11;7;7;6;3;8;9;2;-;2;5;3;1;3;1;4;3;3;4;146
"312430 ESPINOSA";16;15;18;21;12;19;18;7;9;9;7;8;10;8;4;6;2;6;6;3;6;3;5;7;5;10;5;1;4;250
"312440 ESPIRITO SANTO DO DOURADO";1;2;3;2;-;-;-;2;-;-;1;2;-;-;1;-;1;-;-;-;3;-;1;-;-;1;-;1;2;23
"312450 ESTIVA";1;3;3;3;2;2;2;-;1;1;1;-;3;2;1;-;3;1;3;1;1;2;-;1;-;1;1;5;-;44
"312460 ESTRELA DALVA";1;-;1;1;1;-;-;3;-;-;-;-;-;-;2;-;-;-;-;1;2;-;-;1;1;-;2;-;-;16
"312470 ESTRELA DO INDAIA";2;4;-;3;1;2;1;1;2;-;1;2;-;-;-;-;-;-;2;-;1;-;-;-;1;1;-;-;-;24
"312480 ESTRELA DO SUL";1;-;3;2;1;1;-;1;2;3;1;1;-;-;3;1;1;-;1;-;2;2;4;-;1;1;1;1;1;35
"312490 EUGENOPOLIS";4;4;5;-;-;6;1;1;-;3;-;2;-;1;-;1;-;3;2;-;-;1;2;1;2;2;1;1;1;44
"312500 EWBANK DA CAMARA";1;2;-;-;-;1;1;-;1;1;1;1;2;1;1;1;-;-;1;-;-;-;-;1;-;2;1;1;-;20
"312510 EXTREMA";7;8;10;8;6;12;8;5;5;12;4;2;2;2;7;7;4;4;3;4;7;5;5;5;4;6;13;7;6;178
"312520 FAMA";-;-;-;1;-;1;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"312530 FARIA LEMOS";1;1;3;2;-;2;2;3;1;-;-;1;2;1;-;2;3;-;-;-;-;1;1;1;1;-;-;-;1;29
"312540 FELICIO DOS SANTOS";2;1;-;-;2;2;-;2;2;2;1;1;-;1;1;1;1;-;1;1;-;1;-;-;-;-;-;1;-;23
"312550 SAO GONCALO DO RIO PRETO";-;-;-;1;2;-;-;2;-;-;-;1;-;1;-;-;-;-;2;-;1;-;-;1;-;1;-;-;-;12
"312560 FELISBURGO";6;6;6;7;3;5;3;10;3;2;4;2;-;2;5;2;4;1;1;4;3;1;2;-;1;2;1;-;-;86
"312570 FELIXLANDIA";6;4;3;4;-;3;6;2;3;1;2;1;4;4;1;3;3;3;3;1;1;3;2;2;1;1;2;-;-;69
"312580 FERNANDES TOURINHO";1;1;3;2;1;1;-;2;1;1;-;-;-;-;1;1;-;-;1;-;-;1;-;1;2;-;1;-;1;22
"312590 FERROS";4;9;5;4;4;1;3;9;4;1;1;2;4;4;1;3;2;2;-;-;1;-;-;3;1;1;-;-;-;69
"312595 FERVEDOURO";9;4;-;2;5;2;-;7;5;7;4;-;3;3;3;4;4;1;1;-;-;1;-;1;-;3;1;1;4;75
"312600 FLORESTAL";1;-;2;-;-;-;2;-;1;-;-;-;-;-;2;2;-;-;2;2;-;1;1;1;-;1;4;1;-;23
"312610 FORMIGA";28;28;12;11;27;19;10;8;12;10;15;8;5;3;5;6;9;10;12;10;10;11;7;6;6;5;4;8;9;314
"312620 FORMOSO";1;2;1;-;2;-;1;2;-;1;3;-;-;2;1;1;-;-;2;-;-;2;-;2;2;1;2;1;1;30
"312630 FORTALEZA DE MINAS";-;1;1;-;-;1;1;-;-;-;-;-;-;-;1;1;-;-;1;1;1;-;1;1;-;-;-;-;-;11
"312640 FORTUNA DE MINAS";1;-;-;1;1;1;-;1;-;-;2;-;-;1;1;-;-;-;1;1;1;-;-;1;-;1;-;-;-;14
"312650 FRANCISCO BADARO";7;1;1;1;4;1;-;3;2;4;5;4;-;1;1;-;1;1;3;1;1;1;2;1;1;3;-;-;2;52
"312660 FRANCISCO DUMONT";2;-;-;-;-;1;1;3;2;2;-;4;1;1;2;2;3;2;1;-;1;-;1;-;1;1;1;1;1;34
"312670 FRANCISCO SA";5;7;8;10;15;7;7;3;5;8;6;7;4;8;1;10;7;6;2;5;3;4;2;5;2;3;3;-;4;157
"312675 FRANCISCOPOLIS";-;-;-;-;-;1;1;-;1;-;1;-;-;1;2;1;4;1;1;1;-;-;1;1;-;1;1;1;1;21
"312680 FREI GASPAR";3;4;2;-;5;-;1;2;3;3;3;1;3;3;2;1;1;3;1;1;1;2;-;-;1;-;2;1;2;51
"312690 FREI INOCENCIO";3;-;-;5;4;4;2;5;-;6;2;1;6;2;2;1;6;3;1;3;1;2;2;2;-;2;4;1;2;72
"312695 FREI LAGONEGRO";-;1;-;1;-;3;1;-;-;1;-;1;1;-;-;1;3;1;1;-;-;-;-;1;1;-;1;-;1;19
"312700 FRONTEIRA";2;1;1;-;4;3;2;1;1;-;1;5;2;-;1;2;3;4;5;-;-;3;4;3;1;1;1;2;-;53
"312705 FRONTEIRA DOS VALES";2;-;-;2;3;1;-;-;3;1;4;2;1;-;-;-;1;1;-;-;1;2;-;-;1;1;3;1;-;30
"312707 FRUTA DE LEITE";-;-;-;1;-;3;-;-;2;1;2;-;-;1;3;1;2;-;2;3;-;1;1;3;1;-;-;-;1;28
"312710 FRUTAL";18;8;19;15;16;15;14;10;8;5;16;12;11;7;8;4;10;3;7;8;3;8;7;7;5;3;7;7;7;268
"312720 FUNILANDIA";1;1;1;-;1;-;-;2;-;-;-;-;-;1;1;1;1;-;-;2;-;-;1;-;1;-;-;-;1;15
"312730 GALILEIA";3;4;1;-;1;4;3;4;3;1;3;4;2;2;2;2;-;-;1;2;4;2;2;1;3;3;1;2;-;60
"312733 GAMELEIRAS";-;-;-;1;-;-;3;1;1;-;-;2;-;-;1;-;-;-;2;2;1;1;2;1;1;-;-;-;-;19
"312735 GLAUCILANDIA";-;-;3;-;-;-;-;2;-;1;2;-;1;-;-;-;1;1;1;1;1;2;-;-;1;-;-;-;-;17
"312737 GOIABEIRA";-;1;-;-;-;-;1;-;1;1;2;1;-;1;-;-;2;2;-;-;2;1;1;-;-;1;1;-;-;18
"312738 GOIANA";-;2;2;1;-;1;2;1;2;-;3;2;-;-;-;-;-;-;1;-;1;-;-;-;1;-;1;1;1;22
"312740 GONCALVES";-;4;2;-;-;1;1;1;1;1;-;-;-;-;-;4;1;-;-;1;-;1;-;-;-;-;-;-;-;18
"312750 GONZAGA";4;-;-;2;2;1;3;4;-;4;2;1;1;1;1;-;3;-;-;1;-;3;3;1;3;-;-;-;1;41
"312760 GOUVEIA";10;5;1;6;7;4;3;3;3;4;3;2;-;7;3;-;5;3;2;4;-;3;1;3;1;3;1;1;2;90
"312770 GOVERNADOR VALADARES";153;93;134;146;121;119;79;91;76;78;70;68;70;54;37;43;48;49;57;59;54;47;61;55;53;62;60;63;53;2153
"312780 GRAO MOGOL";8;7;3;5;12;6;5;5;4;4;6;3;3;2;2;5;4;6;2;1;5;2;1;1;1;1;-;1;2;107
"312790 GRUPIARA";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;1;-;-;4
"312800 GUANHAES";22;38;35;35;17;21;9;16;21;8;11;7;6;5;7;3;10;7;9;2;4;3;3;4;6;1;5;5;7;327
"312810 GUAPE";3;1;2;4;4;5;1;1;5;2;3;-;3;2;1;2;1;-;-;3;1;6;1;1;1;2;2;1;1;59
"312820 GUARACIABA";4;7;4;8;9;6;4;3;-;5;2;1;1;4;1;3;1;3;2;-;2;1;4;2;1;1;1;2;1;83
"312825 GUARACIAMA";-;1;1;1;3;1;-;-;1;2;3;1;1;-;-;2;1;1;2;3;-;2;2;-;-;-;1;-;-;29
"312830 GUARANESIA";11;10;10;7;3;4;3;4;3;1;3;3;3;8;5;8;1;5;2;1;4;6;2;6;2;3;-;2;-;120
"312840 GUARANI";6;1;4;3;5;7;5;2;2;3;4;1;2;-;-;3;3;1;3;2;1;1;-;-;2;1;2;-;3;67
"312850 GUARARA";1;2;2;3;3;1;-;-;2;3;-;-;1;-;1;-;-;-;1;2;-;-;-;1;-;-;-;-;1;24
"312860 GUARDA-MOR";1;-;1;1;3;-;2;-;1;2;-;1;3;-;5;1;1;-;2;1;1;1;1;2;-;1;1;1;1;34
"312870 GUAXUPE";24;30;22;18;23;17;17;15;17;17;10;10;13;3;2;6;10;12;5;10;8;15;3;5;8;5;4;6;6;341
"312880 GUIDOVAL";4;6;3;1;3;2;2;-;-;-;1;3;4;6;-;1;1;2;2;2;-;1;2;-;-;1;1;1;1;50
"312890 GUIMARANIA";1;1;1;1;-;3;3;2;3;2;2;2;6;2;-;-;1;2;-;1;2;-;2;1;1;-;1;1;2;43
"312900 GUIRICEMA";3;1;7;1;4;3;1;-;2;-;4;1;2;2;-;1;1;3;3;-;2;-;1;1;1;-;1;1;-;46
"312910 GURINHATA";2;1;2;-;2;1;2;1;-;1;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;16
"312920 HELIODORA";5;4;1;5;3;1;4;1;1;-;-;-;1;2;2;1;-;2;-;-;1;-;1;1;-;1;-;1;-;38
"312930 IAPU";4;3;2;-;3;4;4;1;2;3;3;2;4;-;2;2;4;1;1;1;-;1;2;-;1;-;1;2;1;54
"312940 IBERTIOGA";2;7;3;4;7;1;3;1;4;4;2;1;1;3;2;2;1;1;3;-;2;1;-;-;1;2;-;1;-;59
"312950 IBIA";4;6;10;3;12;10;5;4;7;9;2;3;7;7;4;4;5;5;1;4;3;2;3;4;-;2;1;1;-;128
"312960 IBIAI";2;3;1;6;2;1;3;3;2;1;1;1;3;4;6;1;1;2;-;-;1;-;1;1;2;3;-;3;1;55
"312965 IBIRACATU";-;-;1;-;-;1;1;3;1;2;3;5;2;-;-;3;2;-;1;1;-;2;4;-;-;-;2;2;1;37
"312970 IBIRACI";4;5;5;-;7;2;2;1;2;2;2;4;5;4;1;1;1;4;-;1;-;-;-;-;2;2;-;1;-;58
"312980 IBIRITE";105;82;74;50;57;49;41;38;31;30;36;29;28;32;31;31;20;26;30;26;26;22;27;29;29;26;30;27;26;1088
"312990 IBITIURA DE MINAS";-;1;-;-;-;-;1;1;-;-;1;1;-;1;1;-;-;-;-;-;1;-;-;1;-;1;1;1;-;12
"313000 IBITURUNA";4;2;2;-;-;2;4;2;-;-;1;1;-;-;1;-;-;-;-;2;-;-;1;-;1;-;-;-;1;24
"313005 ICARAI DE MINAS";-;2;2;4;-;-;3;4;1;4;3;2;2;3;3;5;2;4;2;5;1;1;1;2;1;-;2;-;-;59
"313010 IGARAPE";20;8;8;4;8;11;6;7;5;2;3;6;3;7;9;3;5;10;5;8;8;9;11;7;9;7;2;6;2;199
"313020 IGARATINGA";1;1;-;1;3;2;1;2;1;2;1;3;2;-;1;1;-;-;1;1;2;2;2;4;-;4;3;-;4;45
"313030 IGUATAMA";9;2;1;2;3;1;1;2;-;-;1;2;1;2;-;-;-;1;1;1;-;1;4;1;-;-;1;-;-;37
"313040 IJACI";4;3;1;1;1;3;2;2;-;3;-;2;1;1;-;3;2;-;-;2;-;-;1;1;-;-;4;2;-;39
"313050 ILICINEA";5;5;5;4;5;3;5;1;2;3;1;-;-;1;1;-;1;3;-;-;2;1;1;1;1;1;1;2;1;56
"313055 IMBE DE MINAS";-;1;3;2;2;3;5;2;2;2;6;1;1;-;-;1;1;2;1;2;2;2;-;3;2;-;1;1;1;49
"313060 INCONFIDENTES";1;1;2;3;4;1;2;2;-;-;-;-;-;-;-;1;-;-;3;-;1;1;-;1;2;-;1;1;-;27
"313065 INDAIABIRA";-;2;-;1;-;-;3;2;3;1;1;3;3;-;1;2;-;1;1;-;1;2;2;1;-;-;3;-;-;33
"313070 INDIANOPOLIS";1;-;2;-;-;1;1;1;-;1;2;-;-;1;3;-;2;-;-;2;-;2;2;-;-;2;-;1;-;24
"313080 INGAI";1;1;-;-;2;1;1;1;-;3;-;-;1;4;-;2;1;-;-;2;-;-;-;1;-;-;-;-;-;21
"313090 INHAPIM";14;7;3;7;12;9;10;13;2;14;3;4;4;3;3;6;5;1;2;2;1;1;2;4;5;1;-;2;3;143
"313100 INHAUMA";-;3;-;2;1;-;2;1;1;1;1;2;1;1;1;2;2;1;2;-;1;-;4;1;-;1;-;1;-;32
"313110 INIMUTABA";2;5;5;2;-;3;2;1;2;2;3;1;1;1;1;-;2;1;-;3;1;3;1;2;1;1;1;-;1;48
"313115 IPABA";-;1;-;9;11;6;9;4;5;3;3;2;3;1;5;1;-;1;5;2;3;2;1;1;2;1;2;3;2;88
"313120 IPANEMA";14;6;4;7;10;5;8;4;4;8;7;4;4;3;5;3;5;3;2;3;1;2;2;2;4;3;2;-;4;129
"313130 IPATINGA";77;88;57;62;54;40;45;53;40;42;47;58;44;51;39;41;32;29;35;35;25;27;27;31;22;29;22;22;24;1198
"313140 IPIACU";-;3;1;2;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;10
"313150 IPUIUNA";4;2;3;6;3;5;2;2;1;-;1;1;-;2;2;2;2;-;1;-;1;3;1;3;-;1;2;-;-;50
"313160 IRAI DE MINAS";3;1;-;2;1;1;1;2;-;1;2;5;1;1;2;3;1;1;2;3;1;1;2;1;-;1;2;2;-;43
